Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,EFF
170,Craig Porter Jr.,24,CLE,PG,6,0,5.8,1.0,2.0,50.0,0.0,0.5,0.0,1.0,1.5,66.7,50.0,0.0,0.0,,0.5,0.5,1.0,1.5,0.5,0.3,0.3,0.3,2.0,,3.6999999999999997
171,Baylor Scheierman,24,BOS,SG,4,0,5.5,0.8,2.5,30.0,0.5,1.3,40.0,0.3,1.3,20.0,40.0,0.0,0.0,,0.3,0.8,1.0,0.0,0.0,0.0,0.3,0.5,2.0,,0.5
172,Lamar Stevens,27,MEM,PF,2,0,6.0,1.0,4.5,22.2,0.0,1.5,0.0,1.0,3.0,33.300000000000004,22.2,0.0,0.0,,0.0,2.0,2.0,0.5,0.0,0.0,0.5,0.5,2.0,,0.0
173,Isaiah Stewart,23,DET,C,1,0,19.0,1.0,2.0,50.0,0.0,0.0,,1.0,2.0,50.0,50.0,0.0,0.0,,1.0,4.0,5.0,1.0,0.0,2.0,0.0,5.0,2.0,,4.0
174,Xavier Tillman Sr.,26,BOS,C,1,0,8.0,1.0,4.0,25.0,0.0,2.0,0.0,1.0,2.0,50.0,25.0,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,,2.0
175,Precious Achiuwa,25,NYK,C,8,0,4.3,0.8,1.8,42.9,0.0,0.1,0.0,0.8,1.6,46.2,42.9,0.3,0.5,50.0,0.4,0.8,1.1,0.0,0.1,0.0,0.1,0.3,1.8,,1.4000000000000006
176,Jaxson Hayes,24,LAL,C,4,4,7.8,0.8,2.0,37.5,0.0,0.0,,0.8,2.0,37.5,37.5,0.3,0.5,50.0,1.3,0.8,2.0,0.3,0.0,0.3,0.3,2.0,1.8,,0.6999999999999993
177,Ron Holland,19,DET,SF,5,0,6.8,0.0,1.0,0.0,0.0,0.6,0.0,0.0,0.4,0.0,0.0,1.8,2.0,90.0,0.6,0.6,1.2,0.0,0.0,0.2,1.2,1.0,1.8,,-0.20000000000000018
178,Cam Christie,19,LAC,SG,3,0,4.3,0.7,1.0,66.7,0.3,0.7,50.0,0.3,0.3,10.0,83.3,0.0,0.0,,0.0,0.7,0.7,0.0,0.3,0.0,0.3,0.0,1.7,,2.0999999999999996
179,Dean Wade,28,CLE,PF,9,1,15.8,0.7,2.0,33.300000000000004,0.3,1.6,21.4,0.3,0.4,75.0,41.7,0.0,0.0,,1.1,3.1,4.2,0.7,0.3,0.1,0.3,1.1,1.7,,4.3
180,Ousmane Dieng,21,OKC,C,9,0,3.6,0.4,1.1,40.0,0.4,0.8,57.1,0.0,0.3,0.0,60.0,0.2,0.2,10.0,0.0,0.4,0.4,0.3,0.0,0.1,0.0,0.0,1.6,,1.6999999999999997
181,Jalen Pickett,25,DEN,SG,8,0,7.1,0.6,1.9,33.300000000000004,0.4,1.1,33.300000000000004,0.3,0.8,33.300000000000004,43.3,0.0,0.0,,0.0,0.9,0.9,0.6,0.0,0.1,0.8,0.4,1.6,,0.7000000000000002
182,Tony Bradley,27,IND,C,11,0,7.1,0.4,0.8,44.4,0.0,0.1,0.0,0.4,0.7,50.0,44.4,0.8,1.1,75.0,1.0,0.9,1.9,0.3,0.0,0.1,0.4,0.9,1.5,,1.7999999999999998
183,Gary Harris,30,ORL,SG,5,0,16.6,0.6,1.6,37.5,0.2,1.2,16.7,0.4,0.4,10.0,43.8,0.0,0.0,,0.2,0.8,1.0,0.6,0.6,0.2,0.0,1.4,1.4,,1.4000000000000004
184,James Johnson,37,IND,PF,5,0,3.6,0.6,1.0,60.0,0.0,0.2,0.0,0.6,0.8,75.0,60.0,0.2,0.4,50.0,0.0,0.2,0.2,0.4,0.4,0.4,0.2,0.6,1.4,,1.3999999999999997
185,Jarred Vanderbilt,25,LAL,PF,5,0,12.0,0.4,1.2,33.300000000000004,0.0,0.2,0.0,0.4,1.0,40.0,33.300000000000004,0.6,0.8,75.0,0.8,3.0,3.8,1.0,0.6,0.2,0.6,1.8,1.4,,3.599999999999999
186,Drew Eubanks,27,LAC,C,3,0,4.3,0.0,0.7,0.0,0.0,0.0,,0.0,0.7,0.0,0.0,1.3,2.0,66.7,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.7,1.3,,-0.49999999999999956
187,Ariel Hukporti,22,NYK,C,3,0,1.7,0.7,0.7,10.0,0.0,0.0,,0.7,0.7,10.0,100000.0,0.0,0.7,0.0,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,1.3,,1.3
188,Jaime Jaquez Jr.,23,MIA,SF,3,0,6.3,0.3,2.0,16.7,0.0,0.7,0.0,0.3,1.3,25.0,16.7,0.7,0.7,10.0,1.0,0.3,1.3,0.3,0.0,0.0,0.3,0.3,1.3,,0.6000000000000001
189,Torrey Craig,34,BOS,SF,5,0,4.2,0.4,0.8,50.0,0.4,0.6,66.7,0.0,0.2,0.0,75.0,0.0,0.0,,0.4,0.6,1.0,0.6,0.2,0.0,0.2,0.4,1.2,,2.0000000000000004
190,Caleb Houstan,22,ORL,SF,5,0,9.4,0.4,2.8,14.3,0.4,2.0,20.0,0.0,0.8,0.0,21.4,0.0,0.0,,0.4,0.4,0.8,0.2,0.0,0.2,0.4,0.6,1.2,,-0.9999999999999996
191,Zeke Nnaji,24,DEN,PF,6,0,5.7,0.2,1.3,12.5,0.2,1.0,16.7,0.0,0.3,0.0,18.8,0.7,1.2,57.1,0.5,0.7,1.2,0.3,0.2,0.3,0.3,1.0,1.2,,0.2999999999999994
192,Taurean Prince,30,MIL,SF,5,2,12.2,0.4,2.0,20.0,0.4,1.8,22.2,0.0,0.2,0.0,30.0,0.0,0.0,,0.0,1.0,1.0,1.6,0.4,0.2,1.0,0.6,1.2,,1.2000000000000002
